source,target
https://www.cnn.com,https://www.cnn.com/audio/podcasts/the-assignment/episodes/888658ae-4b94-11ef-ba2a-c73d17ffdaa6
https://www.cnn.com,https://www.cnn.com/2024/11/04/politics/elon-musk-1-million-giveaway/index.html
https://www.cnn.com,https://www.cnn.com/newsletters
https://www.cnn.com,https://www.cnn.com/2024/11/04/politics/voting-systems-security-what-matters/index.html
https://www.cnn.com,https://www.cnn.com/health/life-but-better/mindfulness
https://www.cnn.com,https://www.cnn.com/cnn-underscored/fashion
https://www.cnn.com,https://www.cnn.com/2024/11/05/sport/nfl-week-9-takeaways-spt-intl/index.html
https://www.cnn.com,https://www.cnn.com/travel/food-and-drink
https://www.cnn.com,https://www.cnn.com/markets
https://www.cnn.com,https://www.cnn.com/interactive/2024/10/world/sudan-war-refugees-cnnphotos/
https://www.cnn.com,https://www.cnn.com/2024/11/04/world/video/lighting-soccer-game-death-peru-digvid
https://www.cnn.com,https://www.cnn.com/world/africa
https://www.cnn.com,https://www.cnn.com/world/photos
https://www.cnn.com,https://www.cnn.com/business/videos
https://www.cnn.com,https://www.cnn.com/2024/11/05/business/warren-buffett-berkshire-hathaway-stock-overpriced/index.html
https://www.cnn.com,https://www.cnn.com/audio/podcasts/one-thing/episodes/47c6dc06-a9b6-11ee-9cbb-9be0633c2560
https://www.cnn.com,https://www.cnn.com/world/australia
https://www.cnn.com,https://www.cnn.com/health
https://www.cnn.com,https://www.cnn.com/us/crime-and-justice
https://www.cnn.com,https://www.cnn.com/cnn-underscored/gifts
https://www.cnn.com,https://www.cnn.com/shorts/events-desktop-cnn-shorts?iid=vertical-video_entry
https://www.cnn.com,https://www.cnn.com/style/arts
https://www.cnn.com,https://www.cnn.com/2024/11/05/politics/gallery/america-votes-2024-election/index.html
https://www.cnn.com,https://www.cnn.com/2024/10/31/world/gallery/photos-this-week-october-24-october-30/index.html
https://www.cnn.com,https://www.cnn.com/2024/11/01/entertainment/stevie-nicks-regrets-not-voting/index.html
